Position, Messreihe #2
Zeit ( s )	Position ( m )
0,0011	0,160
0,1010	0,150
0,2010	0,143
0,3009	0,139
0,4009	0,139
0,5010	0,143
0,6010	0,150
0,7011	0,160
0,8011	0,171
0,9012	0,180
1,0013	0,188
1,1013	0,193
1,2013	0,194
1,3013	0,191
1,4012	0,185
1,5012	0,175
1,6011	0,165
1,7010	0,153
1,8010	0,143
1,9009	0,135
2,0009	0,131
2,1009	0,132
2,2009	0,137
2,3010	0,146
2,4011	0,158
2,5011	0,169
2,6012	0,179
2,7013	0,187
2,8013	0,192
2,9013	0,193
3,0013	0,190
3,1012	0,184
3,2012	0,175
3,3011	0,167
3,4010	0,156
3,5010	0,147
3,6010	0,142
3,7009	0,140
3,8010	0,142
3,9010	0,147
4,0010	0,156
4,1011	0,165
4,2012	0,173
4,3012	0,180
4,4012	0,184
4,5012	0,185
4,6012	0,183
4,7012	0,178
4,8011	0,171
4,9011	0,162
5,0010	0,153
5,1010	0,145
5,2009	0,141
5,3009	0,139
5,4010	0,142
5,5010	0,148
5,6011	0,158
5,7011	0,169
5,8012	0,177
5,9012	0,186
6,0013	0,191
6,1013	0,194
6,2013	0,192
6,3012	0,186
6,4012	0,177
6,5011	0,168
6,6010	0,156
6,7010	0,145
6,8009	0,137
6,9009	0,132
7,0009	0,132
7,1009	0,136
7,2010	0,144
7,3010	0,155
7,4011	0,167
7,5012	0,176
7,6012	0,185
7,7013	0,191
7,8013	0,193
7,9013	0,191
8,0012	0,186
8,1012	0,177
8,2011	0,169
8,3011	0,159
8,4010	0,149
8,5010	0,143
8,6009	0,140
8,7009	0,141
8,8010	0,146
8,9010	0,154
9,0011	0,162
9,1011	0,171
9,2012	0,178
9,3012	0,183
9,4012	0,185
9,5012	0,184
9,6012	0,179
9,7012	0,173
9,8011	0,165
9,9010	0,156
10,0010	0,147
10,1010	0,142
10,2009	0,140
10,3009	0,142
10,4010	0,147
10,5010	0,156
10,6011	0,166
10,7012	0,175
10,8012	0,183
10,9013	0,190
11,0013	0,193
11,1013	0,192
11,2013	0,187
11,3012	0,179
11,4011	0,170
11,5011	0,159
11,6010	0,148
11,7009	0,139
11,8009	0,133
11,9009	0,132
12,0009	0,135
12,1010	0,142
12,2010	0,153
12,3011	0,164
12,4012	0,174
12,5012	0,183
12,6013	0,190
12,7013	0,193
12,8013	0,192
12,9013	0,187
