Position, Messreihe #4
Zeit ( s )	Position ( m )
7,8200E-4	0,117
0,1008	0,117
0,2008	0,117
0,3008	0,117
0,4008	0,117
0,5008	0,116
0,6008	0,116
0,7008	0,116
0,8008	0,116
0,9008	0,118
1,0008	0,123
1,1009	0,131
1,2009	0,142
1,3010	0,154
1,4011	0,167
1,5012	0,178
1,6013	0,189
1,7013	0,200
1,8014	0,210
1,9014	0,214
2,0015	0,218
2,1014	0,214
2,2014	0,208
2,3013	0,198
2,4013	0,188
2,5012	0,177
2,6011	0,166
2,7010	0,153
2,8009	0,141
2,9009	0,131
3,0008	0,123
3,1008	0,118
3,2008	0,117
3,3008	0,118
3,4008	0,122
3,5009	0,129
3,6009	0,139
3,7010	0,150
3,8011	0,162
3,9012	0,173
4,0012	0,183
4,1013	0,193
4,2014	0,202
4,3014	0,209
4,4014	0,212
4,5014	0,213
4,6014	0,209
4,7014	0,202
4,8013	0,193
4,9012	0,183
5,0012	0,173
5,1011	0,161
5,2010	0,149
5,3009	0,138
5,4009	0,129
5,5008	0,122
5,6008	0,118
5,7008	0,117
5,8008	0,119
5,9008	0,123
6,0009	0,131
6,1009	0,141
6,2010	0,154
6,3011	0,166
6,4012	0,177
6,5013	0,188
6,6013	0,199
6,7014	0,206
6,8014	0,214
6,9014	0,215
7,0014	0,214
7,1014	0,207
7,2013	0,199
7,3013	0,188
7,4012	0,177
7,5011	0,167
7,6010	0,154
7,7009	0,142
7,8009	0,131
7,9008	0,124
8,0008	0,119
8,1008	0,117
8,2008	0,118
8,3008	0,122
8,4009	0,129
8,5009	0,138
8,6010	0,149
8,7011	0,161
8,8012	0,172
8,9012	0,183
9,0013	0,192
9,1013	0,201
9,2014	0,208
9,3014	0,214
9,4014	0,212
9,5014	0,209
9,6013	0,201
9,7013	0,193
9,8012	0,183
9,9012	0,173
10,0011	0,162
10,1010	0,150
10,2009	0,139
10,3009	0,130
10,4008	0,123
10,5008	0,119
10,6008	0,117
10,7008	0,119
10,8008	0,124
10,9009	0,131
11,0009	0,141
11,1010	0,153
11,2011	0,166
11,3012	0,176
11,4013	0,187
11,5013	0,197
11,6014	0,207
11,7014	0,211
11,8014	0,216
11,9014	0,212
12,0014	0,208
12,1013	0,198
12,2013	0,189
12,3012	0,178
12,4011	0,168
12,5010	0,155
12,6010	0,142
12,7009	0,132
12,8008	0,124
12,9008	0,119
13,0008	0,117
13,1008	0,118
13,2008	0,122
13,3009	0,129
13,4009	0,138
13,5010	0,148
13,6011	0,161
13,7012	0,172
13,8012	0,182
13,9013	0,192
14,0013	0,201
14,1014	0,208
14,2014	0,210
14,3014	0,212
14,4014	0,208
14,5013	0,201
14,6013	0,193
14,7012	0,183
14,8012	0,173
14,9011	0,163
15,0010	0,151
15,1009	0,140
15,2009	0,131
15,3008	0,124
15,4008	0,119
15,5008	0,118
15,6008	0,119
