Winkelposition, Messreihe #4
Zeit ( s )	Winkelposition ( rad )
0,0000	-13,292
0,0200	-13,493
0,0400	-13,646
0,0600	-13,752
0,0800	-13,814
0,1000	-13,831
0,1200	-13,806
0,1400	-13,738
0,1600	-13,635
0,1800	-13,495
0,2000	-13,320
0,2200	-13,113
0,2400	-12,874
0,2600	-12,604
0,2800	-12,306
0,3000	-11,980
0,3200	-11,632
0,3400	-11,259
0,3600	-10,867
0,3800	-10,457
0,4000	-10,028
0,4200	-9,587
0,4400	-9,133
0,4600	-8,669
0,4800	-8,198
0,5000	-7,724
0,5200	-7,246
0,5400	-6,767
0,5600	-6,291
0,5800	-5,820
0,6000	-5,356
0,6200	-4,904
0,6400	-4,463
0,6600	-4,035
0,6800	-3,624
0,7000	-3,228
0,7200	-2,851
0,7400	-2,491
0,7600	-2,154
0,7800	-1,836
0,8000	-1,543
0,8200	-1,271
0,8400	-1,024
0,8600	-0,803
0,8800	-0,605
0,9000	-0,434
0,9200	-0,287
0,9400	-0,168
0,9600	-0,074
0,9800	-0,008
1,0000	0,035
1,0200	0,050
1,0400	0,042
1,0600	0,009
1,0800	-0,047
1,1000	-0,124
1,1200	-0,225
1,1400	-0,346
1,1600	-0,485
1,1800	-0,644
1,2000	-0,822
1,2200	-1,015
1,2400	-1,222
1,2600	-1,444
1,2800	-1,679
1,3000	-1,926
1,3200	-2,183
1,3400	-2,449
1,3600	-2,724
1,3800	-3,003
1,4000	-3,288
1,4200	-3,577
1,4400	-3,866
1,4600	-4,156
1,4800	-4,445
1,5000	-4,731
1,5200	-5,012
1,5400	-5,287
1,5600	-5,556
1,5800	-5,817
1,6000	-6,070
1,6200	-6,311
1,6400	-6,542
1,6600	-6,761
1,6800	-6,968
1,7000	-7,161
1,7200	-7,342
1,7400	-7,507
1,7600	-7,658
1,7800	-7,794
1,8000	-7,915
1,8200	-8,019
1,8400	-8,108
1,8600	-8,181
1,8800	-8,237
1,9000	-8,278
1,9200	-8,303
1,9400	-8,311
1,9600	-8,306
1,9800	-8,286
2,0000	-8,251
2,0200	-8,204
2,0400	-8,143
2,0600	-8,071
2,0800	-7,988
2,1000	-7,893
2,1200	-7,788
2,1400	-7,673
2,1600	-7,551
2,1800	-7,419
2,2000	-7,281
2,2200	-7,135
2,2400	-6,984
2,2600	-6,827
2,2800	-6,666
2,3000	-6,503
2,3200	-6,337
2,3400	-6,170
2,3600	-6,002
2,3800	-5,836
2,4000	-5,671
2,4200	-5,506
2,4400	-5,345
2,4600	-5,187
2,4800	-5,034
2,5000	-4,885
2,5200	-4,741
2,5400	-4,602
2,5600	-4,472
2,5800	-4,348
2,6000	-4,230
2,6200	-4,122
2,6400	-4,021
2,6600	-3,930
2,6800	-3,847
2,7000	-3,773
2,7200	-3,707
2,7400	-3,652
2,7600	-3,605
2,7800	-3,567
2,8000	-3,539
2,8200	-3,520
2,8400	-3,511
2,8600	-3,509
2,8800	-3,517
2,9000	-3,531
2,9200	-3,555
2,9400	-3,585
2,9600	-3,621
2,9800	-3,665
3,0000	-3,713
3,0200	-3,768
3,0400	-3,828
3,0600	-3,892
3,0800	-3,963
3,1000	-4,037
3,1200	-4,112
3,1400	-4,192
3,1600	-4,276
3,1800	-4,361
3,2000	-4,447
3,2200	-4,535
3,2400	-4,623
3,2600	-4,711
3,2800	-4,799
3,3000	-4,887
3,3200	-4,972
3,3400	-5,056
3,3600	-5,138
3,3800	-5,218
3,4000	-5,295
3,4200	-5,369
3,4400	-5,440
3,4600	-5,507
3,4800	-5,570
3,5000	-5,630
3,5200	-5,685
3,5400	-5,735
3,5600	-5,781
3,5800	-5,823
3,6000	-5,859
3,6200	-5,890
3,6400	-5,917
3,6600	-5,939
3,6800	-5,955
3,7000	-5,967
3,7200	-5,974
3,7400	-5,977
3,7600	-5,975
3,7800	-5,971
3,8000	-5,963
3,8200	-5,950
3,8400	-5,936
3,8600	-5,920
3,8800	-5,900
3,9000	-5,879
3,9200	-5,854
3,9400	-5,829
3,9600	-5,801
3,9800	-5,771
4,0000	-5,741
4,0200	-5,708
4,0400	-5,675
4,0600	-5,641
4,0800	-5,606
4,1000	-5,570
4,1200	-5,535
4,1400	-5,498
4,1600	-5,463
4,1800	-5,427
4,2000	-5,391
4,2200	-5,356
4,2400	-5,322
4,2600	-5,289
4,2800	-5,256
4,3000	-5,224
4,3200	-5,193
4,3400	-5,163
4,3600	-5,137
4,3800	-5,110
4,4000	-5,085
4,4200	-5,063
4,4400	-5,041
4,4600	-5,022
4,4800	-5,005
4,5000	-4,989
4,5200	-4,975
4,5400	-4,964
4,5600	-4,954
4,5800	-4,946
4,6000	-4,942
4,6200	-4,937
4,6400	-4,935
4,6600	-4,935
4,6800	-4,935
4,7000	-4,937
4,7200	-4,942
4,7400	-4,946
4,7600	-4,951
4,7800	-4,959
4,8000	-4,965
4,8200	-4,975
4,8400	-4,983
4,8600	-4,992
4,8800	-5,003
4,9000	-5,012
4,9200	-5,023
4,9400	-5,034
4,9600	-5,045
4,9800	-5,056
5,0000	-5,067
5,0200	-5,077
5,0400	-5,088
5,0600	-5,096
5,0800	-5,105
5,1000	-5,113
5,1200	-5,121
5,1400	-5,127
5,1600	-5,133
5,1800	-5,138
5,2000	-5,143
5,2200	-5,148
5,2400	-5,149
5,2600	-5,152
5,2800	-5,154
5,3000	-5,155
5,3200	-5,155
5,3400	-5,157
5,3600	-5,157
