Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	6,241
0,0200	6,019
0,0400	5,746
0,0600	5,424
0,0800	5,055
0,1000	4,640
0,1200	4,181
0,1400	3,680
0,1600	3,140
0,1800	2,564
0,2000	1,953
0,2200	1,308
0,2400	0,636
0,2600	-0,061
0,2800	-0,782
0,3000	-1,522
0,3200	-2,276
0,3400	-3,043
0,3600	-3,817
0,3800	-4,598
0,4000	-5,380
0,4200	-6,162
0,4400	-6,937
0,4600	-7,700
0,4800	-8,449
0,5000	-9,181
0,5200	-9,891
0,5400	-10,578
0,5600	-11,239
0,5800	-11,867
0,6000	-12,464
0,6200	-13,023
0,6400	-13,543
0,6600	-14,021
0,6800	-14,454
0,7000	-14,842
0,7200	-15,182
0,7400	-15,471
0,7600	-15,710
0,7800	-15,895
0,8000	-16,022
0,8200	-16,096
0,8400	-16,113
0,8600	-16,074
0,8800	-15,983
0,9000	-15,843
0,9200	-15,655
0,9400	-15,421
0,9600	-15,139
0,9800	-14,814
1,0000	-14,447
1,0200	-14,038
1,0400	-13,589
1,0600	-13,100
1,0800	-12,579
1,1000	-12,023
1,1200	-11,437
1,1400	-10,824
1,1600	-10,187
1,1800	-9,530
1,2000	-8,855
1,2200	-8,163
1,2400	-7,463
1,2600	-6,753
1,2800	-6,038
1,3000	-5,322
1,3200	-4,609
1,3400	-3,903
1,3600	-3,208
1,3800	-2,524
1,4000	-1,857
1,4200	-1,208
1,4400	-0,580
1,4600	0,024
1,4800	0,600
1,5000	1,147
1,5200	1,662
1,5400	2,141
1,5600	2,584
1,5800	2,991
1,6000	3,355
1,6200	3,679
1,6400	3,960
1,6600	4,196
1,6800	4,386
1,7000	4,532
1,7200	4,631
1,7400	4,683
1,7600	4,689
1,7800	4,650
1,8000	4,563
1,8200	4,433
1,8400	4,258
1,8600	4,042
1,8800	3,782
1,9000	3,481
1,9200	3,142
1,9400	2,766
1,9600	2,355
1,9800	1,909
2,0000	1,431
2,0200	0,925
2,0400	0,391
2,0600	-0,168
2,0800	-0,751
2,1000	-1,351
2,1200	-1,968
2,1400	-2,598
2,1600	-3,241
2,1800	-3,891
2,2000	-4,546
2,2200	-5,204
2,2400	-5,859
2,2600	-6,513
2,2800	-7,157
2,3000	-7,790
2,3200	-8,407
2,3400	-9,009
2,3600	-9,591
2,3800	-10,150
2,4000	-10,686
2,4200	-11,193
2,4400	-11,671
2,4600	-12,117
2,4800	-12,529
2,5000	-12,903
2,5200	-13,239
2,5400	-13,534
2,5600	-13,790
2,5800	-14,002
2,6000	-14,170
2,6200	-14,294
2,6400	-14,374
2,6600	-14,407
2,6800	-14,396
2,7000	-14,340
2,7200	-14,242
2,7400	-14,104
2,7600	-13,927
2,7800	-13,711
2,8000	-13,459
2,8200	-13,168
2,8400	-12,843
2,8600	-12,482
2,8800	-12,089
2,9000	-11,665
