Winkelposition, Messreihe #16
Zeit ( s )	Winkelposition ( rad )
0,0000	1,261
0,0200	1,161
0,0400	1,062
0,0600	0,969
0,0800	0,880
0,1000	0,795
0,1200	0,715
0,1400	0,641
0,1600	0,573
0,1800	0,511
0,2000	0,454
0,2200	0,405
0,2400	0,363
0,2600	0,328
0,2800	0,302
0,3000	0,281
0,3200	0,269
0,3400	0,265
0,3600	0,267
0,3800	0,276
0,4000	0,294
0,4200	0,317
0,4400	0,347
0,4600	0,383
0,4800	0,426
0,5000	0,476
0,5200	0,531
0,5400	0,592
0,5600	0,658
0,5800	0,732
0,6000	0,809
0,6200	0,891
0,6400	0,979
0,6600	1,068
0,6800	1,164
0,7000	1,263
0,7200	1,363
0,7400	1,469
0,7600	1,576
0,7800	1,684
0,8000	1,794
0,8200	1,905
0,8400	2,017
0,8600	2,128
0,8800	2,240
0,9000	2,350
0,9200	2,458
0,9400	2,565
0,9600	2,670
0,9800	2,772
1,0000	2,871
1,0200	2,966
1,0400	3,058
1,0600	3,145
1,0800	3,228
1,1000	3,305
1,1200	3,376
1,1400	3,442
1,1600	3,500
1,1800	3,553
1,2000	3,599
1,2200	3,636
1,2400	3,668
1,2600	3,693
1,2800	3,709
1,3000	3,717
1,3200	3,718
1,3400	3,712
1,3600	3,698
1,3800	3,676
1,4000	3,647
1,4200	3,613
1,4400	3,570
1,4600	3,522
1,4800	3,467
1,5000	3,407
1,5200	3,340
1,5400	3,267
1,5600	3,189
1,5800	3,105
1,6000	3,018
1,6200	2,926
1,6400	2,831
1,6600	2,732
1,6800	2,628
1,7000	2,524
1,7200	2,416
1,7400	2,308
1,7600	2,198
1,7800	2,086
1,8000	1,973
1,8200	1,863
1,8400	1,751
1,8600	1,640
1,8800	1,532
1,9000	1,425
1,9200	1,319
1,9400	1,217
1,9600	1,118
1,9800	1,024
2,0000	0,933
2,0200	0,847
2,0400	0,765
2,0600	0,688
2,0800	0,616
2,1000	0,551
2,1200	0,492
2,1400	0,440
2,1600	0,394
2,1800	0,357
2,2000	0,325
2,2200	0,300
2,2400	0,284
2,2600	0,276
2,2800	0,275
2,3000	0,281
2,3200	0,294
2,3400	0,313
2,3600	0,339
2,3800	0,372
2,4000	0,412
2,4200	0,457
2,4400	0,507
2,4600	0,565
2,4800	0,628
2,5000	0,697
2,5200	0,771
2,5400	0,851
2,5600	0,935
2,5800	1,023
2,6000	1,115
2,6200	1,211
2,6400	1,310
2,6600	1,412
2,6800	1,516
2,7000	1,623
2,7200	1,731
2,7400	1,841
2,7600	1,951
2,7800	2,062
2,8000	2,172
2,8200	2,282
2,8400	2,391
2,8600	2,499
2,8800	2,604
2,9000	2,708
2,9200	2,809
2,9400	2,906
2,9600	3,000
2,9800	3,090
3,0000	3,175
3,0200	3,255
3,0400	3,330
3,0600	3,399
3,0800	3,462
3,1000	3,519
3,1200	3,567
3,1400	3,611
3,1600	3,646
3,1800	3,674
3,2000	3,695
3,2200	3,709
3,2400	3,713
3,2600	3,712
3,2800	3,702
3,3000	3,685
3,3200	3,662
3,3400	3,630
3,3600	3,592
3,3800	3,548
3,4000	3,498
3,4200	3,440
3,4400	3,376
3,4600	3,307
3,4800	3,231
3,5000	3,151
3,5200	3,065
3,5400	2,975
3,5600	2,881
3,5800	2,782
3,6000	2,681
3,6200	2,576
3,6400	2,469
3,6600	2,359
3,6800	2,249
3,7000	2,138
3,7200	2,025
3,7400	1,912
3,7600	1,800
3,7800	1,689
3,8000	1,577
3,8200	1,469
3,8400	1,362
3,8600	1,258
3,8800	1,158
3,9000	1,060
3,9200	0,966
3,9400	0,877
3,9600	0,792
3,9800	0,713
4,0000	0,639
4,0200	0,570
4,0400	0,507
4,0600	0,452
4,0800	0,404
4,1000	0,361
4,1200	0,327
4,1400	0,298
4,1600	0,280
4,1800	0,267
4,2000	0,262
4,2200	0,265
4,2400	0,275
4,2600	0,292
4,2800	0,314
4,3000	0,346
4,3200	0,382
4,3400	0,426
4,3600	0,474
4,3800	0,531
4,4000	0,592
4,4200	0,660
4,4400	0,732
4,4600	0,811
4,4800	0,892
4,5000	0,980
4,5200	1,073
4,5400	1,169
4,5600	1,268
4,5800	1,370
4,6000	1,475
4,6200	1,583
4,6400	1,693
4,6600	1,803
4,6800	1,915
4,7000	2,028
4,7200	2,141
4,7400	2,251
4,7600	2,362
4,7800	2,472
4,8000	2,581
4,8200	2,686
4,8400	2,788
4,8600	2,889
4,8800	2,985
4,9000	3,077
4,9200	3,164
4,9400	3,247
4,9600	3,324
4,9800	3,396
5,0000	3,460
5,0200	3,520
5,0400	3,572
5,0600	3,618
5,0800	3,655
5,1000	3,687
5,1200	3,710
5,1400	3,726
5,1600	3,732
5,1800	3,734
5,2000	3,726
5,2200	3,712
5,2400	3,690
5,2600	3,662
5,2800	3,625
5,3000	3,583
5,3200	3,534
5,3400	3,479
5,3600	3,416
5,3800	3,349
5,4000	3,275
5,4200	3,197
5,4400	3,112
5,4600	3,022
5,4800	2,930
5,5000	2,832
5,5200	2,732
5,5400	2,626
5,5600	2,520
5,5800	2,410
5,6000	2,300
5,6200	2,187
5,6400	2,073
5,6600	1,959
5,6800	1,846
5,7000	1,733
5,7200	1,619
5,7400	1,508
5,7600	1,400
5,7800	1,293
5,8000	1,189
5,8200	1,089
5,8400	0,993
5,8600	0,902
5,8800	0,814
5,9000	0,730
5,9200	0,653
5,9400	0,581
5,9600	0,515
5,9800	0,457
6,0000	0,405
6,0200	0,360
6,0400	0,320
6,0600	0,291
6,0800	0,267
6,1000	0,251
6,1200	0,243
6,1400	0,243
6,1600	0,251
6,1800	0,264
6,2000	0,286
6,2200	0,314
6,2400	0,349
6,2600	0,390
6,2800	0,437
6,3000	0,490
6,3200	0,550
6,3400	0,616
6,3600	0,686
6,3800	0,763
6,4000	0,845
6,4200	0,931
6,4400	1,023
6,4600	1,118
6,4800	1,217
6,5000	1,319
6,5200	1,425
6,5400	1,532
6,5600	1,643
6,5800	1,753
6,6000	1,866
6,6200	1,979
6,6400	2,094
6,6600	2,207
6,6800	2,320
6,7000	2,432
6,7200	2,542
6,7400	2,648
6,7600	2,754
6,7800	2,856
6,8000	2,955
6,8200	3,050
6,8400	3,140
6,8600	3,226
6,8800	3,307
6,9000	3,380
6,9200	3,449
6,9400	3,512
6,9600	3,567
6,9800	3,618
7,0000	3,658
7,0200	3,693
7,0400	3,720
7,0600	3,738
7,0800	3,749
7,1000	3,753
7,1200	3,749
7,1400	3,737
7,1600	3,718
7,1800	3,691
7,2000	3,658
7,2200	3,618
7,2400	3,572
7,2600	3,519
7,2800	3,459
7,3000	3,393
7,3200	3,321
7,3400	3,242
7,3600	3,159
7,3800	3,071
7,4000	2,978
7,4200	2,882
7,4400	2,780
7,4600	2,677
7,4800	2,570
7,5000	2,460
7,5200	2,348
7,5400	2,235
7,5600	2,122
7,5800	2,006
7,6000	1,891
7,6200	1,777
7,6400	1,663
7,6600	1,550
7,6800	1,439
7,7000	1,330
7,7200	1,225
7,7400	1,123
7,7600	1,024
7,7800	0,930
7,8000	0,840
7,8200	0,754
7,8400	0,674
7,8600	0,600
7,8800	0,531
7,9000	0,470
7,9200	0,413
7,9400	0,366
7,9600	0,325
7,9800	0,291
8,0000	0,264
8,0200	0,247
8,0400	0,236
8,0600	0,232
8,0800	0,237
8,1000	0,248
8,1200	0,267
8,1400	0,292
8,1600	0,325
8,1800	0,363
8,2000	0,408
8,2200	0,460
8,2400	0,518
8,2600	0,581
8,2800	0,652
8,3000	0,727
8,3200	0,807
8,3400	0,892
8,3600	0,982
8,3800	1,076
8,4000	1,175
8,4200	1,275
8,4400	1,381
8,4600	1,488
8,4800	1,598
8,5000	1,709
8,5200	1,822
8,5400	1,935
8,5600	2,048
8,5800	2,163
8,6000	2,276
8,6200	2,388
8,6400	2,498
8,6600	2,606
8,6800	2,711
8,7000	2,813
8,7200	2,912
8,7400	3,008
8,7600	3,099
8,7800	3,186
8,8000	3,267
8,8200	3,343
8,8400	3,412
8,8600	3,476
8,8800	3,533
8,9000	3,583
8,9200	3,627
8,9400	3,663
8,9600	3,691
8,9800	3,712
9,0000	3,726
9,0200	3,731
9,0400	3,729
9,0600	3,720
9,0800	3,702
9,1000	3,679
9,1200	3,647
9,1400	3,610
9,1600	3,564
9,1800	3,514
9,2000	3,457
9,2200	3,393
9,2400	3,324
9,2600	3,248
9,2800	3,168
9,3000	3,083
9,3200	2,994
9,3400	2,900
9,3600	2,802
9,3800	2,702
9,4000	2,598
9,4200	2,491
9,4400	2,383
9,4600	2,273
9,4800	2,161
9,5000	2,050
9,5200	1,937
9,5400	1,825
9,5600	1,714
9,5800	1,604
9,6000	1,495
9,6200	1,389
9,6400	1,285
9,6600	1,183
9,6800	1,085
9,7000	0,991
9,7200	0,902
9,7400	0,815
9,7600	0,735
9,7800	0,660
9,8000	0,591
9,8200	0,526
9,8400	0,470
9,8600	0,419
9,8800	0,375
9,9000	0,339
9,9200	0,311
9,9400	0,289
9,9600	0,275
9,9800	0,269
10,0000	0,270
10,0200	0,278
10,0400	0,292
10,0600	0,314
10,0800	0,342
10,1000	0,377
10,1200	0,418
10,1400	0,465
10,1600	0,518
10,1800	0,578
10,2000	0,642
10,2200	0,713
10,2400	0,789
10,2600	0,869
10,2800	0,955
10,3000	1,043
10,3200	1,137
10,3400	1,235
10,3600	1,335
10,3800	1,437
10,4000	1,543
10,4200	1,649
10,4400	1,759
10,4600	1,869
10,4800	1,979
10,5000	2,091
10,5200	2,201
10,5400	2,311
10,5600	2,419
10,5800	2,526
10,6000	2,631
10,6200	2,735
10,6400	2,835
10,6600	2,931
10,6800	3,025
10,7000	3,113
10,7200	3,198
10,7400	3,277
10,7600	3,349
10,7800	3,418
10,8000	3,479
10,8200	3,533
10,8400	3,581
10,8600	3,622
10,8800	3,655
10,9000	3,682
10,9200	3,701
10,9400	3,710
10,9600	3,713
10,9800	3,710
11,0000	3,698
11,0200	3,680
11,0400	3,654
11,0600	3,621
11,0800	3,581
11,1000	3,536
11,1200	3,482
11,1400	3,424
11,1600	3,360
11,1800	3,289
11,2000	3,212
11,2200	3,131
11,2400	3,046
11,2600	2,953
11,2800	2,859
11,3000	2,760
11,3200	2,658
11,3400	2,553
11,3600	2,444
11,3800	2,336
11,4000	2,224
11,4200	2,111
11,4400	1,998
11,4600	1,885
11,4800	1,773
11,5000	1,660
11,5200	1,550
11,5400	1,442
11,5600	1,335
11,5800	1,232
11,6000	1,131
11,6200	1,035
11,6400	0,941
11,6600	0,853
11,6800	0,770
11,7000	0,691
11,7200	0,617
11,7400	0,551
11,7600	0,490
11,7800	0,435
11,8000	0,388
11,8200	0,347
11,8400	0,314
11,8600	0,289
11,8800	0,270
11,9000	0,261
11,9200	0,258
11,9400	0,262
11,9600	0,273
11,9800	0,292
12,0000	0,317
12,0200	0,349
12,0400	0,388
12,0600	0,432
12,0800	0,482
12,1000	0,540
12,1200	0,603
12,1400	0,672
12,1600	0,746
12,1800	0,825
12,2000	0,909
12,2200	0,999
12,2400	1,092
12,2600	1,188
12,2800	1,288
12,3000	1,392
12,3200	1,499
12,3400	1,607
12,3600	1,717
12,3800	1,828
12,4000	1,940
12,4200	2,053
12,4400	2,166
12,4600	2,278
12,4800	2,388
12,5000	2,498
12,5200	2,604
12,5400	2,710
12,5600	2,812
12,5800	2,911
12,6000	3,005
12,6200	3,096
12,6400	3,182
12,6600	3,264
12,6800	3,340
12,7000	3,409
12,7200	3,473
12,7400	3,530
12,7600	3,580
12,7800	3,624
12,8000	3,660
12,8200	3,688
12,8400	3,710
12,8600	3,723
12,8800	3,728
12,9000	3,726
12,9200	3,717
12,9400	3,699
12,9600	3,676
12,9800	3,644
13,0000	3,607
13,0200	3,563
13,0400	3,511
13,0600	3,454
13,0800	3,391
13,1000	3,322
13,1200	3,247
13,1400	3,167
13,1600	3,082
13,1800	2,991
13,2000	2,898
13,2200	2,799
13,2400	2,699
13,2600	2,593
13,2800	2,487
13,3000	2,378
13,3200	2,268
13,3400	2,157
13,3600	2,044
13,3800	1,932
13,4000	1,819
13,4200	1,707
13,4400	1,596
13,4600	1,488
13,4800	1,381
13,5000	1,275
13,5200	1,175
13,5400	1,076
13,5600	0,982
13,5800	0,892
13,6000	0,807
13,6200	0,727
13,6400	0,652
13,6600	0,583
13,6800	0,520
13,7000	0,463
13,7200	0,413
13,7400	0,371
13,7600	0,335
13,7800	0,306
13,8000	0,286
13,8200	0,272
13,8400	0,267
13,8600	0,269
13,8800	0,276
13,9000	0,292
13,9200	0,314
13,9400	0,344
13,9600	0,380
13,9800	0,421
14,0000	0,470
14,0200	0,525
14,0400	0,584
14,0600	0,650
14,0800	0,723
14,1000	0,800
14,1200	0,881
14,1400	0,968
14,1600	1,059
14,1800	1,153
14,2000	1,252
14,2200	1,354
14,2400	1,458
14,2600	1,565
14,2800	1,674
14,3000	1,784
14,3200	1,896
14,3400	2,007
14,3600	2,121
14,3800	2,231
14,4000	2,342
14,4200	2,450
14,4400	2,559
14,4600	2,663
14,4800	2,766
14,5000	2,865
14,5200	2,963
14,5400	3,054
14,5600	3,142
14,5800	3,225
14,6000	3,302
14,6200	3,374
14,6400	3,440
14,6600	3,500
14,6800	3,553
14,7000	3,599
14,7200	3,638
14,7400	3,669
14,7600	3,693
14,7800	3,710
14,8000	3,718
14,8200	3,720
14,8400	3,713
14,8600	3,699
14,8800	3,677
14,9000	3,649
14,9200	3,614
14,9400	3,572
14,9600	3,525
14,9800	3,470
15,0000	3,409
15,0200	3,341
15,0400	3,269
15,0600	3,190
15,0800	3,107
15,1000	3,019
15,1200	2,926
15,1400	2,831
15,1600	2,730
15,1800	2,626
15,2000	2,523
15,2200	2,414
15,2400	2,304
15,2600	2,194
15,2800	2,083
15,3000	1,971
15,3200	1,858
15,3400	1,747
15,3600	1,637
15,3800	1,527
15,4000	1,420
15,4200	1,316
15,4400	1,214
15,4600	1,115
15,4800	1,021
15,5000	0,930
15,5200	0,842
