Winkelposition, Messreihe #4
Zeit ( s )	Winkelposition ( rad )
0,0000	0,280
0,0200	0,287
0,0400	0,294
0,0600	0,295
0,0800	0,294
0,1000	0,289
0,1200	0,283
0,1400	0,273
0,1600	0,264
0,1800	0,250
0,2000	0,234
0,2200	0,217
0,2400	0,196
0,2600	0,176
0,2800	0,152
0,3000	0,127
0,3200	0,101
0,3400	0,074
0,3600	0,046
0,3800	0,016
0,4000	-0,014
0,4200	-0,044
0,4400	-0,074
0,4600	-0,104
0,4800	-0,132
0,5000	-0,160
0,5200	-0,187
0,5400	-0,212
0,5600	-0,234
0,5800	-0,253
0,6000	-0,270
0,6200	-0,284
0,6400	-0,295
0,6600	-0,302
0,6800	-0,303
0,7000	-0,303
0,7200	-0,298
0,7400	-0,292
0,7600	-0,283
0,7800	-0,272
0,8000	-0,258
0,8200	-0,242
0,8400	-0,225
0,8600	-0,206
0,8800	-0,185
0,9000	-0,163
0,9200	-0,140
0,9400	-0,113
0,9600	-0,086
0,9800	-0,060
1,0000	-0,030
1,0200	-0,002
1,0400	0,028
1,0600	0,058
1,0800	0,086
1,1000	0,116
1,1200	0,143
1,1400	0,170
1,1600	0,195
1,1800	0,218
1,2000	0,239
1,2200	0,258
1,2400	0,273
1,2600	0,286
1,2800	0,295
1,3000	0,302
1,3200	0,303
1,3400	0,303
1,3600	0,300
1,3800	0,295
1,4000	0,286
1,4200	0,276
1,4400	0,264
1,4600	0,248
1,4800	0,231
1,5000	0,212
1,5200	0,192
1,5400	0,168
1,5600	0,143
1,5800	0,118
1,6000	0,090
1,6200	0,061
1,6400	0,031
1,6600	0,002
1,6800	-0,028
1,7000	-0,058
1,7200	-0,088
1,7400	-0,118
1,7600	-0,146
1,7800	-0,173
1,8000	-0,198
1,8200	-0,221
1,8400	-0,242
1,8600	-0,259
1,8800	-0,275
1,9000	-0,286
1,9200	-0,294
1,9400	-0,298
1,9600	-0,298
1,9800	-0,295
2,0000	-0,289
2,0200	-0,281
2,0400	-0,270
2,0600	-0,258
