Winkelposition, Messreihe #3
Zeit ( s )	Winkelposition ( rad )
0,0000	0,000
0,0200	0,000
0,0400	0,000
0,0600	0,000
0,0800	0,000
0,1000	0,000
0,1200	0,000
0,1400	0,000
0,1600	0,000
0,1800	0,000
0,2000	0,000
0,2200	0,000
0,2400	0,000
0,2600	0,000
0,2800	0,002
0,3000	0,002
0,3200	0,002
0,3400	0,002
0,3600	0,002
0,3800	0,002
0,4000	0,002
0,4200	0,002
0,4400	0,002
0,4600	0,002
0,4800	0,002
0,5000	0,002
0,5200	0,002
0,5400	0,002
0,5600	0,002
0,5800	0,002
0,6000	0,002
0,6200	0,002
0,6400	0,002
0,6600	0,002
0,6800	0,002
0,7000	0,002
0,7200	0,003
0,7400	0,003
0,7600	0,005
0,7800	0,006
0,8000	0,008
0,8200	0,009
0,8400	0,011
0,8600	0,014
0,8800	0,017
0,9000	0,022
0,9200	0,027
0,9400	0,031
0,9600	0,038
0,9800	0,044
1,0000	0,052
1,0200	0,060
1,0400	0,069
1,0600	0,080
1,0800	0,091
1,1000	0,102
1,1200	0,115
1,1400	0,129
1,1600	0,145
1,1800	0,160
1,2000	0,176
1,2200	0,193
1,2400	0,212
1,2600	0,231
1,2800	0,251
1,3000	0,272
1,3200	0,294
1,3400	0,316
1,3600	0,339
1,3800	0,363
1,4000	0,388
1,4200	0,413
1,4400	0,438
1,4600	0,465
1,4800	0,492
1,5000	0,520
1,5200	0,548
1,5400	0,576
1,5600	0,605
1,5800	0,635
1,6000	0,663
1,6200	0,693
1,6400	0,721
1,6600	0,751
1,6800	0,781
1,7000	0,809
1,7200	0,837
1,7400	0,866
1,7600	0,894
1,7800	0,920
1,8000	0,947
1,8200	0,972
1,8400	0,997
1,8600	1,021
1,8800	1,045
1,9000	1,067
1,9200	1,087
1,9400	1,106
1,9600	1,123
1,9800	1,139
2,0000	1,151
2,0200	1,164
2,0400	1,175
2,0600	1,183
2,0800	1,189
2,1000	1,194
2,1200	1,197
2,1400	1,197
2,1600	1,195
2,1800	1,192
2,2000	1,188
2,2200	1,180
2,2400	1,170
2,2600	1,161
2,2800	1,148
2,3000	1,134
2,3200	1,120
2,3400	1,103
2,3600	1,085
2,3800	1,065
2,4000	1,045
2,4200	1,021
2,4400	0,997
2,4600	0,972
2,4800	0,944
2,5000	0,916
2,5200	0,886
2,5400	0,853
2,5600	0,820
2,5800	0,784
2,6000	0,748
2,6200	0,708
2,6400	0,669
2,6600	0,628
2,6800	0,584
2,7000	0,540
2,7200	0,495
2,7400	0,448
2,7600	0,401
2,7800	0,352
2,8000	0,302
2,8200	0,251
2,8400	0,199
2,8600	0,148
2,8800	0,096
2,9000	0,042
2,9200	-0,011
2,9400	-0,064
2,9600	-0,118
2,9800	-0,171
3,0000	-0,225
3,0200	-0,278
3,0400	-0,331
3,0600	-0,385
3,0800	-0,437
3,1000	-0,489
3,1200	-0,539
3,1400	-0,589
3,1600	-0,636
3,1800	-0,685
3,2000	-0,729
3,2200	-0,773
3,2400	-0,815
3,2600	-0,856
3,2800	-0,895
3,3000	-0,933
3,3200	-0,969
3,3400	-1,002
3,3600	-1,034
3,3800	-1,063
3,4000	-1,090
3,4200	-1,114
3,4400	-1,136
3,4600	-1,155
3,4800	-1,172
3,5000	-1,184
3,5200	-1,195
3,5400	-1,203
3,5600	-1,210
3,5800	-1,213
3,6000	-1,213
3,6200	-1,211
3,6400	-1,208
3,6600	-1,203
3,6800	-1,197
3,7000	-1,189
3,7200	-1,183
3,7400	-1,175
3,7600	-1,166
3,7800	-1,156
3,8000	-1,147
3,8200	-1,136
3,8400	-1,125
3,8600	-1,112
3,8800	-1,100
3,9000	-1,087
3,9200	-1,073
3,9400	-1,059
3,9600	-1,043
3,9800	-1,027
4,0000	-1,010
4,0200	-0,993
4,0400	-0,974
4,0600	-0,953
4,0800	-0,935
4,1000	-0,913
4,1200	-0,891
4,1400	-0,867
4,1600	-0,842
4,1800	-0,817
4,2000	-0,792
4,2200	-0,765
4,2400	-0,738
4,2600	-0,710
4,2800	-0,680
4,3000	-0,650
4,3200	-0,619
4,3400	-0,587
4,3600	-0,554
4,3800	-0,522
4,4000	-0,487
4,4200	-0,451
4,4400	-0,415
4,4600	-0,379
4,4800	-0,341
4,5000	-0,302
4,5200	-0,262
4,5400	-0,221
4,5600	-0,181
4,5800	-0,140
4,6000	-0,097
4,6200	-0,055
4,6400	-0,011
4,6600	0,033
4,6800	0,077
4,7000	0,123
4,7200	0,168
4,7400	0,214
4,7600	0,259
4,7800	0,305
4,8000	0,350
4,8200	0,396
4,8400	0,441
4,8600	0,489
4,8800	0,534
4,9000	0,578
4,9200	0,624
4,9400	0,669
4,9600	0,713
4,9800	0,757
5,0000	0,800
5,0200	0,844
5,0400	0,886
5,0600	0,928
5,0800	0,969
5,1000	1,008
5,1200	1,049
5,1400	1,087
5,1600	1,125
5,1800	1,161
5,2000	1,197
5,2200	1,230
5,2400	1,264
5,2600	1,294
5,2800	1,326
5,3000	1,354
5,3200	1,381
5,3400	1,406
5,3600	1,429
5,3800	1,453
5,4000	1,473
5,4200	1,491
5,4400	1,508
5,4600	1,522
5,4800	1,536
5,5000	1,547
5,5200	1,555
5,5400	1,561
5,5600	1,566
5,5800	1,568
5,6000	1,569
5,6200	1,568
5,6400	1,565
5,6600	1,560
5,6800	1,554
5,7000	1,546
5,7200	1,538
5,7400	1,527
5,7600	1,516
5,7800	1,503
5,8000	1,489
5,8200	1,475
5,8400	1,458
5,8600	1,440
5,8800	1,422
5,9000	1,401
5,9200	1,381
5,9400	1,357
5,9600	1,334
5,9800	1,308
6,0000	1,282
6,0200	1,253
6,0400	1,225
6,0600	1,194
6,0800	1,162
6,1000	1,129
6,1200	1,095
6,1400	1,059
6,1600	1,021
6,1800	0,982
6,2000	0,942
6,2200	0,900
6,2400	0,858
6,2600	0,814
6,2800	0,768
6,3000	0,723
6,3200	0,675
6,3400	0,627
6,3600	0,576
6,3800	0,526
6,4000	0,474
6,4200	0,423
6,4400	0,369
6,4600	0,316
6,4800	0,261
6,5000	0,207
6,5200	0,151
6,5400	0,096
6,5600	0,041
6,5800	-0,016
6,6000	-0,072
6,6200	-0,129
6,6400	-0,184
6,6600	-0,240
6,6800	-0,295
6,7000	-0,350
6,7200	-0,404
6,7400	-0,459
6,7600	-0,511
6,7800	-0,562
6,8000	-0,614
6,8200	-0,663
6,8400	-0,712
6,8600	-0,759
6,8800	-0,804
6,9000	-0,848
6,9200	-0,889
6,9400	-0,930
6,9600	-0,968
6,9800	-1,004
7,0000	-1,038
7,0200	-1,070
7,0400	-1,100
7,0600	-1,126
7,0800	-1,150
7,1000	-1,172
7,1200	-1,191
7,1400	-1,208
7,1600	-1,222
7,1800	-1,233
7,2000	-1,241
7,2200	-1,246
7,2400	-1,249
7,2600	-1,250
7,2800	-1,249
7,3000	-1,244
7,3200	-1,239
7,3400	-1,235
7,3600	-1,228
7,3800	-1,221
7,4000	-1,213
7,4200	-1,205
7,4400	-1,197
7,4600	-1,188
