Winkelposition, Messreihe #1
Zeit ( s )	Winkelposition ( rad )
0,0000	11,844
0,0200	11,292
0,0400	10,700
0,0600	10,070
0,0800	9,403
0,1000	8,702
0,1200	7,973
0,1400	7,216
0,1600	6,436
0,1800	5,638
0,2000	4,822
0,2200	3,996
0,2400	3,160
0,2600	2,320
0,2800	1,480
0,3000	0,641
0,3200	-0,188
0,3400	-1,004
0,3600	-1,805
0,3800	-2,586
0,4000	-3,344
0,4200	-4,075
0,4400	-4,775
0,4600	-5,441
0,4800	-6,071
0,5000	-6,659
0,5200	-7,202
0,5400	-7,700
0,5600	-8,149
0,5800	-8,545
0,6000	-8,889
0,6200	-9,175
0,6400	-9,406
0,6600	-9,579
0,6800	-9,693
0,7000	-9,748
0,7200	-9,745
0,7400	-9,684
0,7600	-9,569
0,7800	-9,398
0,8000	-9,173
0,8200	-8,899
0,8400	-8,573
0,8600	-8,200
0,8800	-7,780
0,9000	-7,317
0,9200	-6,811
0,9400	-6,264
0,9600	-5,680
0,9800	-5,058
1,0000	-4,406
1,0200	-3,724
1,0400	-3,018
1,0600	-2,287
1,0800	-1,538
1,1000	-0,774
1,1200	0,000
1,1400	0,785
1,1600	1,576
1,1800	2,362
1,2000	3,148
1,2200	3,924
1,2400	4,690
1,2600	5,441
1,2800	6,173
1,3000	6,885
1,3200	7,573
1,3400	8,233
1,3600	8,862
1,3800	9,458
1,4000	10,019
1,4200	10,540
1,4400	11,021
1,4600	11,459
1,4800	11,853
1,5000	12,199
1,5200	12,499
1,5400	12,749
1,5600	12,948
1,5800	13,096
1,6000	13,193
1,6200	13,239
1,6400	13,231
1,6600	13,173
1,6800	13,063
1,7000	12,903
1,7200	12,694
1,7400	12,436
1,7600	12,133
1,7800	11,783
1,8000	11,390
1,8200	10,955
1,8400	10,479
1,8600	9,965
1,8800	9,417
1,9000	8,834
1,9200	8,222
1,9400	7,581
1,9600	6,915
1,9800	6,227
2,0000	5,521
2,0200	4,800
2,0400	4,068
2,0600	3,325
2,0800	2,578
2,1000	1,828
2,1200	1,081
2,1400	0,338
2,1600	-0,394
2,1800	-1,114
2,2000	-1,816
2,2200	-2,501
2,2400	-3,160
2,2600	-3,795
2,2800	-4,401
2,3000	-4,976
2,3200	-5,515
2,3400	-6,016
2,3600	-6,476
2,3800	-6,896
2,4000	-7,268
2,4200	-7,596
2,4400	-7,874
2,4600	-8,104
2,4800	-8,281
2,5000	-8,405
2,5200	-8,476
2,5400	-8,492
2,5600	-8,452
2,5800	-8,363
2,6000	-8,225
2,6200	-8,041
2,6400	-7,812
2,6600	-7,537
2,6800	-7,219
2,7000	-6,861
2,7200	-6,462
2,7400	-6,022
2,7600	-5,546
2,7800	-5,034
2,8000	-4,491
2,8200	-3,916
2,8400	-3,316
2,8600	-2,692
2,8800	-2,048
2,9000	-1,384
2,9200	-0,707
2,9400	-0,020
2,9600	0,679
2,9800	1,381
3,0000	2,084
3,0200	2,783
3,0400	3,479
3,0600	4,164
3,0800	4,838
3,1000	5,496
3,1200	6,136
3,1400	6,756
3,1600	7,351
3,1800	7,920
3,2000	8,460
3,2200	8,969
3,2400	9,444
3,2600	9,883
3,2800	10,286
3,3000	10,647
3,3200	10,969
3,3400	11,247
3,3600	11,481
3,3800	11,671
3,4000	11,814
3,4200	11,913
3,4400	11,963
3,4600	11,969
3,4800	11,929
3,5000	11,842
3,5200	11,712
3,5400	11,538
3,5600	11,319
3,5800	11,058
3,6000	10,757
3,6200	10,418
3,6400	10,041
3,6600	9,626
3,6800	9,178
3,7000	8,698
3,7200	8,187
3,7400	7,650
3,7600	7,087
3,7800	6,502
3,8000	5,895
3,8200	5,273
3,8400	4,637
3,8600	3,988
3,8800	3,330
3,9000	2,667
3,9200	2,003
3,9400	1,338
3,9600	0,677
3,9800	0,025
4,0000	-0,616
4,0200	-1,244
4,0400	-1,855
4,0600	-2,446
4,0800	-3,016
4,1000	-3,559
4,1200	-4,076
4,1400	-4,562
4,1600	-5,014
4,1800	-5,432
4,2000	-5,814
4,2200	-6,156
4,2400	-6,456
4,2600	-6,715
4,2800	-6,930
4,3000	-7,102
4,3200	-7,227
4,3400	-7,307
4,3600	-7,340
4,3800	-7,328
4,4000	-7,268
4,4200	-7,166
4,4400	-7,025
4,4600	-6,839
4,4800	-6,616
4,5000	-6,354
4,5200	-6,052
4,5400	-5,715
4,5600	-5,342
4,5800	-4,937
4,6000	-4,499
4,6200	-4,031
4,6400	-3,536
4,6600	-3,016
4,6800	-2,472
4,7000	-1,910
4,7200	-1,330
4,7400	-0,737
4,7600	-0,130
4,7800	0,484
4,8000	1,104
4,8200	1,728
4,8400	2,350
4,8600	2,969
4,8800	3,580
4,9000	4,183
4,9200	4,774
4,9400	5,349
4,9600	5,908
4,9800	6,445
5,0000	6,962
5,0200	7,453
5,0400	7,917
5,0600	8,353
5,0800	8,757
5,1000	9,131
5,1200	9,469
5,1400	9,773
5,1600	10,039
5,1800	10,267
5,2000	10,455
5,2200	10,604
5,2400	10,713
5,2600	10,780
5,2800	10,807
5,3000	10,795
5,3200	10,740
5,3400	10,644
5,3600	10,510
5,3800	10,337
5,4000	10,128
5,4200	9,882
5,4400	9,599
5,4600	9,283
5,4800	8,935
5,5000	8,555
5,5200	8,145
5,5400	7,708
5,5600	7,246
5,5800	6,759
5,6000	6,252
5,6200	5,726
5,6400	5,184
5,6600	4,628
5,6800	4,059
5,7000	3,481
5,7200	2,898
5,7400	2,311
5,7600	1,723
5,7800	1,137
5,8000	0,556
5,8200	-0,017
5,8400	-0,578
5,8600	-1,125
5,8800	-1,657
5,9000	-2,171
5,9200	-2,663
5,9400	-3,132
5,9600	-3,575
5,9800	-3,991
6,0000	-4,376
6,0200	-4,731
6,0400	-5,052
6,0600	-5,336
6,0800	-5,586
6,1000	-5,798
6,1200	-5,971
6,1400	-6,103
6,1600	-6,197
6,1800	-6,249
6,2000	-6,261
6,2200	-6,233
6,2400	-6,165
6,2600	-6,060
6,2800	-5,919
6,3000	-5,740
6,3200	-5,524
6,3400	-5,276
6,3600	-4,995
6,3800	-4,679
6,4000	-4,334
6,4200	-3,960
6,4400	-3,558
6,4600	-3,131
6,4800	-2,680
6,5000	-2,209
6,5200	-1,718
6,5400	-1,213
6,5600	-0,693
6,5800	-0,162
6,6000	0,379
6,6200	0,925
6,6400	1,477
6,6600	2,026
6,6800	2,576
6,7000	3,121
6,7200	3,658
6,7400	4,186
6,7600	4,701
6,7800	5,202
6,8000	5,686
6,8200	6,153
6,8400	6,597
6,8600	7,018
6,8800	7,416
6,9000	7,786
6,9200	8,129
6,9400	8,440
6,9600	8,723
6,9800	8,972
7,0000	9,189
7,0200	9,371
7,0400	9,519
7,0600	9,631
7,0800	9,708
7,1000	9,747
7,1200	9,752
7,1400	9,719
7,1600	9,651
7,1800	9,549
7,2000	9,412
7,2200	9,243
7,2400	9,040
7,2600	8,806
7,2800	8,542
7,3000	8,248
7,3200	7,926
7,3400	7,578
7,3600	7,204
7,3800	6,806
7,4000	6,388
7,4200	5,950
7,4400	5,495
7,4600	5,022
7,4800	4,536
7,5000	4,040
7,5200	3,534
7,5400	3,022
7,5600	2,507
7,5800	1,989
7,6000	1,472
7,6200	0,958
7,6400	0,451
7,6600	-0,049
7,6800	-0,537
7,7000	-1,012
7,7200	-1,472
7,7400	-1,913
7,7600	-2,336
7,7800	-2,736
7,8000	-3,113
7,8200	-3,465
7,8400	-3,790
7,8600	-4,086
7,8800	-4,351
7,9000	-4,584
7,9200	-4,785
7,9400	-4,953
7,9600	-5,085
7,9800	-5,182
8,0000	-5,245
8,0200	-5,270
8,0400	-5,262
8,0600	-5,218
8,0800	-5,140
8,1000	-5,028
8,1200	-4,882
8,1400	-4,705
8,1600	-4,496
8,1800	-4,257
8,2000	-3,990
8,2200	-3,693
8,2400	-3,371
8,2600	-3,025
8,2800	-2,656
8,3000	-2,267
8,3200	-1,858
8,3400	-1,431
8,3600	-0,991
8,3800	-0,537
8,4000	-0,074
8,4200	0,399
8,4400	0,878
8,4600	1,362
8,4800	1,846
8,5000	2,329
8,5200	2,810
8,5400	3,285
8,5600	3,751
8,5800	4,208
8,6000	4,654
8,6200	5,083
8,6400	5,498
8,6600	5,894
8,6800	6,271
8,7000	6,624
8,7200	6,957
8,7400	7,263
8,7600	7,546
8,7800	7,801
8,8000	8,027
8,8200	8,225
8,8400	8,391
8,8600	8,528
8,8800	8,635
8,9000	8,708
8,9200	8,752
8,9400	8,763
8,9600	8,745
8,9800	8,693
9,0000	8,613
9,0200	8,501
9,0400	8,361
9,0600	8,192
9,0800	7,995
9,1000	7,771
9,1200	7,521
9,1400	7,245
9,1600	6,946
9,1800	6,624
9,2000	6,282
9,2200	5,920
9,2400	5,542
9,2600	5,148
9,2800	4,738
9,3000	4,315
9,3200	3,883
9,3400	3,443
9,3600	2,997
9,3800	2,546
9,4000	2,094
9,4200	1,641
9,4400	1,192
9,4600	0,746
9,4800	0,308
9,5000	-0,121
9,5200	-0,539
9,5400	-0,942
9,5600	-1,332
9,5800	-1,706
9,6000	-2,061
9,6200	-2,394
9,6400	-2,706
9,6600	-2,996
9,6800	-3,261
9,7000	-3,498
9,7200	-3,709
9,7400	-3,892
9,7600	-4,045
9,7800	-4,167
9,8000	-4,260
9,8200	-4,323
9,8400	-4,353
9,8600	-4,353
9,8800	-4,321
9,9000	-4,260
9,9200	-4,169
9,9400	-4,050
9,9600	-3,902
9,9800	-3,726
10,0000	-3,523
10,0200	-3,296
10,0400	-3,043
10,0600	-2,769
10,0800	-2,474
10,1000	-2,157
10,1200	-1,822
10,1400	-1,470
10,1600	-1,104
10,1800	-0,724
10,2000	-0,333
10,2200	0,068
10,2400	0,476
10,2600	0,892
10,2800	1,310
10,3000	1,731
10,3200	2,150
10,3400	2,570
10,3600	2,983
10,3800	3,391
10,4000	3,789
10,4200	4,178
10,4400	4,555
10,4600	4,920
10,4800	5,267
10,5000	5,598
10,5200	5,911
10,5400	6,202
10,5600	6,475
10,5800	6,723
10,6000	6,949
10,6200	7,150
10,6400	7,326
