Winkelposition, Messreihe #3
Zeit ( s )	Winkelposition ( rad )
0,0000	-11,827
0,0200	-12,361
0,0400	-12,846
0,0600	-13,276
0,0800	-13,650
0,1000	-13,968
0,1200	-14,225
0,1400	-14,423
0,1600	-14,560
0,1800	-14,637
0,2000	-14,654
0,2200	-14,612
0,2400	-14,513
0,2600	-14,359
0,2800	-14,153
0,3000	-13,897
0,3200	-13,591
0,3400	-13,237
0,3600	-12,835
0,3800	-12,390
0,4000	-11,902
0,4200	-11,376
0,4400	-10,810
0,4600	-10,212
0,4800	-9,580
0,5000	-8,921
0,5200	-8,237
0,5400	-7,534
0,5600	-6,811
0,5800	-6,074
0,6000	-5,327
0,6200	-4,573
0,6400	-3,812
0,6600	-3,052
0,6800	-2,298
0,7000	-1,552
0,7200	-0,820
0,7400	-0,101
0,7600	0,602
0,7800	1,282
0,8000	1,940
0,8200	2,571
0,8400	3,173
0,8600	3,743
0,8800	4,279
0,9000	4,777
0,9200	5,237
0,9400	5,656
0,9600	6,033
0,9800	6,366
1,0000	6,655
1,0200	6,897
1,0400	7,094
1,0600	7,243
1,0800	7,345
1,1000	7,397
1,1200	7,405
1,1400	7,364
1,1600	7,278
1,1800	7,147
1,2000	6,971
1,2200	6,751
1,2400	6,491
1,2600	6,189
1,2800	5,850
1,3000	5,473
1,3200	5,063
1,3400	4,618
1,3600	4,142
1,3800	3,640
1,4000	3,112
1,4200	2,559
1,4400	1,985
1,4600	1,392
1,4800	0,785
1,5000	0,165
1,5200	-0,465
1,5400	-1,103
1,5600	-1,745
1,5800	-2,388
1,6000	-3,028
1,6200	-3,663
1,6400	-4,290
1,6600	-4,906
1,6800	-5,506
1,7000	-6,088
1,7200	-6,651
1,7400	-7,193
1,7600	-7,708
1,7800	-8,198
1,8000	-8,658
1,8200	-9,087
1,8400	-9,483
1,8600	-9,843
1,8800	-10,165
1,9000	-10,449
1,9200	-10,694
1,9400	-10,900
1,9600	-11,062
1,9800	-11,183
2,0000	-11,263
2,0200	-11,299
